COUNTY,NAME,ADDRESS,PHONE,FAX
Adair,"Adair County, County Clerk's Office","106 W. Washington, 2nd Floor Kirksville, MO 63501","(660) 665-3350","(660) 785-3233"
Andrew,"Andrew County, County Clerk's Office","411 Court St., PO Box 206 Savannah, MO 64485","(816) 324-3624","(816) 324-6154"
Atchison,"Atchison County, County Clerk's Office","400 S. Washington, PO Box 280 Rock Port, MO 64482","(660) 744-6214","(660) 744-5499"
Audrain,"Audrain County, County Clerk's Office","101 N. Jefferson, Rm. 101 Mexico, MO 65265","(573) 473-5820","(573) 581-2380"
Barry,"Barry County, County Clerk's Office","700 Main, Ste. 2 Cassville, MO 65625","(417) 847-2561","(417) 847-5311"
Barton,"Barton County, County Clerk's Office","1004 Gulf, Rm. 103 Lamar, MO 64759","(417) 682-3529","(417) 682-4100"
Bates,"Bates County, County Clerk's Office","103 W. Dakota St., Rm. 1 Butler, MO 64730","(660) 679-3371","(660) 679-9922"
Benton,"Benton County, County Clerk's Office","316 Van Buren, PO Box 1238 Warsaw, MO 65355","(660) 438-7326","(660) 438-3275"
Bollinger,"Bollinger County, County Clerk's Office","204 E. High St., Ste. 5 Marble Hill, MO 63764","(573) 238-1900 x5","(573) 238-3275"
Boone,"Boone County, County Clerk's Office","801 E. Walnut St., Rm. 236 Columbia, MO 65201","(573) 886-4295","(573) 886-4300"
Buchanan,"Buchanan County, County Clerk's Office","411 Jules, Rm 121 St. Joseph, MO 64501","(816) 271-1412","(816) 271-1535"
Butler,"Butler County, County Clerk's Office","100 N. Main, Rm. 202 Poplar Bluff, MO 63901","(573) 686-8050","(573) 686-8066"
Caldwell,"Caldwell County, County Clerk's Office","49 E. Main St., PO Box 67 Kingston, MO 64650","(816) 586-2571","(816) 586-3001"
Callaway,"Callaway County, County Clerk's Office","10 E. Fifth St. Fulton, MO 65251","(573) 642-0730","(573) 642-7181"
Camden,"Camden County, County Clerk's Office","1 Court Circle NW, Ste. 2 Camdenton, MO 65020","(573) 317-3890","(573) 346-8445"
CapeGirardeau,"Cape Girardeau County, County Clerk's Office","1 Barton Square, Ste. 301 Jackson, MO 63755","(573) 243-3547","(573) 204-2418"
Carroll,"Carroll County, County Clerk's Office","8 S. Main, Ste. 6 Carrollton, MO 64633","(660) 542-0615","(660) 542-0621"
Carter,"Carter County, County Clerk's Office","105 Main St., PO Box 517 Van Buren, MO 63965","(573) 323-4527","(573) 323-0356"
Cass,"Cass County, County Clerk's Office","102 E. Wall St. Harrisonville, MO 64701","(816) 380-8102","(816) 380-8101"
Cedar,"Cedar County, County Clerk's Office","113 South St. Stockton, MO 65785","(417) 276-6700 x221","(417) 276-3461"
Chariton,"Chariton County, County Clerk's Office","306 S. Cherry St. Keytesville, MO 65261","(660) 288-3273","(660) 288-3403"
Christian,"Christian County, County Clerk's Office","100 W. Church, Rm. 304 Ozark, MO 65721","(417) 582-4340","(417) 581-8331"
Clark,"Clark County, County Clerk's Office","111 E. Court St., Ste. 110 Kahoka, MO 63445","(660) 727-3283","(660) 727-1088"
Clay,"Clay County Board of Elections","100 W. Mississippi St. Liberty, MO 64068","(816) 415-8683","(816) 792-5334"
Clinton,"Clinton County, County Clerk's Office","207 N. Main St., Rm. 103 Plattsburg, MO 64477","(816) 539-3713","(816) 539-3072"
Cole,"Cole County, County Clerk's Office","311 E. High St., Rm 201 Jefferson City, MO 65101","(573) 634-9101","(573) 681-9678"
Cooper,"Cooper County, County Clerk's Office","200 Main St., Rm. 23 Boonville, MO 65233","(660) 882-2114","(660) 882-5645"
Crawford,"Crawford County, County Clerk's Office","302 W. Main St., PO Box AS Steelville, MO 65565","(573) 775-2376","(573) 775-3066"
Dade,"Dade County, County Clerk's Office","300 W. Water St., Ste. 1 Greenfield, MO 65661","(417) 637-2724","(417) 637-1006"
Dallas,"Dallas County, County Clerk's Office","102 S. Cedar, PO Box 436 Buffalo, MO 65622","(417) 345-2632","(417) 345-5321"
Daviess,"Daviess County, County Clerk's Office","102 N. Main, Ste. 5 Gallatin, MO 64640","(660) 663-2641","(660) 663-3075"
DeKalb,"DeKalb County, County Clerk's Office","109 W. Main St., PO Box 248 Maysville, MO 64469","(816) 449-5402 x4","(816) 449-2440"
Dent,"Dent County, County Clerk's Office","400 N. Main St. Salem, MO 65560","(573) 729-4144","(573) 729-3350"
Douglas,"Douglas County, County Clerk's Office","203 SE Second Ave., PO Box 398 Ava, MO 65608","(417) 683-4714","(417) 683-1017"
Dunklin,"Dunklin County, County Clerk's Office","100 Courthouse Square, Rm. 201, PO Box 188 Kennett, MO 63857","(573) 888-1374","(573) 888-2832"
Franklin,"Franklin County, County Clerk's Office","400 E. Locust, Ste. 201 Union, MO 63084","(636) 583-6355","(636) 583-7320"
Gasconade,"Gasconade County, County Clerk's Office","119 E. First St., Ste. 2 Hermann, MO 65041","(573) 486-5427","(573) 486-8893"
Gentry,"Gentry County, County Clerk's Office","200 W. Clay Albany, MO 64402","(660) 726-3525","(660) 726-4478"
Greene,"Greene County, County Clerk's Office","940 Boonville, Rm. 113 Springfield, MO 65802","(417) 868-4060","(417) 868-4170"
Grundy,"Grundy County, County Clerk's Office","700 Main, 2nd Floor Trenton, MO 64683","(660) 359-4040 x4","(660) 359-6786"
Harrison,"Harrison County, County Clerk's Office","1505 Main St., PO Box 525 Bethany, MO 64424","(660) 425-6424","(660) 425-3772"
Henry,"Henry County, County Clerk's Office","100 W. Franklin Clinton, MO 64735","(660) 885-7204","(660) 890-2963"
Hickory,"Hickory County, County Clerk's Office","23645 Polk St., Ste. 101, PO Box 3 Hermitage, MO 65668","(417) 745-6450","(417) 745-6057"
Holt,"Holt County, County Clerk's Office","102 W. Nodaway St., PO Box 437 Oregon, MO 64473","(660) 446-3303","(660) 446-3353"
Howard,"Howard County, County Clerk's Office","1 Courthouse Square Fayette, MO 65248","(660) 248-2284","(660) 248-9810"
Howell,"Howell County, County Clerk's Office","35 Court Square, Ste. 200 West Plains, MO 65775","(417) 256-2591","(417) 256-2512"
Iron,"Iron County, County Clerk's Office","250 S. Main St., PO Box 42 Ironton, MO 63650","(573) 546-2912","(573) 546-6499"
